StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q131_1,Q131_2,Q131_3,Q131_4,Q131_8,Q21,Q133_11,Q133_3,Q133_1,Q133_2,Q133_4,Q133_5,Q133_6,Q133_7,Q133_8,Q133_13,Q133_14,Q133_9,Q133_10,Q133_12,Q22,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q23,General VR Interest,General VR Interest_2_TEXT,Q140,Q140_2_TEXT,Q143_24,Q142,Q144,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q24,Q146,Q147_1,Q149,Q150,Q153,Q19,Q151,Q154
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant Number (filled by the experimenter),"Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - Walking on the treadmill was difficult.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - The instructions were long and I had trouble focusing on them.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - The environment was distracting as I heard the instructions.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - The objects in the environment such as signs, trees and benches etc. were distacting.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - Architecture of the buildings were distracting.",Explain anything else that you felt caused it to be difficult to stay on task.,"Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The virtual environment was immersive and realistic.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The objects and the buildings in the environment were in the same scale compared to the real-world measurements.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The objects and the buildings in the environment were in bigger scale compared to the real-world measurements.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The objects and the buildings in the environment were in smaller scale compared to the real-world measurements.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was at the same height in the virtual environment compared to real life.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was taller in the virtual environment compared to real life.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was shorter in the virtual environment compared to real life.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - It was easy to walk on the treadmill.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was able to walk in a pace I desired.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I felt like my steps in the virtual environment mirrored steps in the real-world.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I felt like my walking speed in the virtual environment was similar to my normal walking speed.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was comfortable during the experiment.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I felt secure in the treadmill.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I could see clearly in the VR headset.",Explain anything else that you felt caused it to be effect your immersiveness experience.,"Task Performance
How much did the following factors influence your task performance: - The directions for the tasks were clear.","Task Performance
How much did the following factors influence your task performance: - It was easy to learn the names of the buildings.","Task Performance
How much did the following factors influence your task performance: - It was easy to learn the locations of the buildings.","Task Performance
How much did the following factors influence your task performance: - I performed well in the pointing task.","Task Performance
How much did the following factors influence your task performance: - I performed well in the model building (bird eyeâ€™s view map) task.",Explain anything else that you felt caused it to be effect your task performance.,"It was my first time using a virtual reality (VR) headset.

(If no, approximately how many times?) - Selected Choice","It was my first time using a virtual reality (VR) headset.

(If no, approximately how many times?) - No - Text","It was my first time using a virtual reality (VR) treadmill.

(If no, approximately how many times?) - Selected Choice","It was my first time using a virtual reality (VR) treadmill.

(If no, approximately how many times?) - No - Text",I am interested in VR technologies.,I would like to participate in a VR study again.,Were you holding a compass during the experiment?,"Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I used the compass while I was learning the environment.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I used the compass during the pointing task.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - The compass helped me to learn the environment better.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I constantly remembered I had a compass to assist me.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I forgot throughout the experiment that I was holding a compass.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - The compass was easy to read.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - The directions on how to use the compass were clear.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I knew where the compass was pointing throughout the environment (i.e. same direction every scene, different directions)",Explain any other way that you used the compass.,Did you feel sick or dizzy at any time during the experiment?,How sick or dizzy did you get?,When did you feel sick or dizzy?,What would you change to prevent motion sickness?,"Did you feel that your motion sickness resulted from exertion in the virtual environment, disorientation, or another source?","Do you normally easily get motion sick? For example carsick, seasick or airsick?","Did you feel oriented to the room you were in, or the virtual environment?",Do you have any additional comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID176_TEXT""}","{""ImportId"":""QID152_1""}","{""ImportId"":""QID152_2""}","{""ImportId"":""QID152_3""}","{""ImportId"":""QID152_4""}","{""ImportId"":""QID152_8""}","{""ImportId"":""QID180_TEXT""}","{""ImportId"":""QID154_11""}","{""ImportId"":""QID154_3""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID154_2""}","{""ImportId"":""QID154_4""}","{""ImportId"":""QID154_5""}","{""ImportId"":""QID154_6""}","{""ImportId"":""QID154_7""}","{""ImportId"":""QID154_8""}","{""ImportId"":""QID154_13""}","{""ImportId"":""QID154_14""}","{""ImportId"":""QID154_9""}","{""ImportId"":""QID154_10""}","{""ImportId"":""QID154_12""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID159_1""}","{""ImportId"":""QID159_2""}","{""ImportId"":""QID159_3""}","{""ImportId"":""QID159_4""}","{""ImportId"":""QID159_5""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID160""}","{""ImportId"":""QID160_2_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID161_2_TEXT""}","{""ImportId"":""QID164_24""}","{""ImportId"":""QID163""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID166_2""}","{""ImportId"":""QID166_3""}","{""ImportId"":""QID166_4""}","{""ImportId"":""QID166_5""}","{""ImportId"":""QID166_6""}","{""ImportId"":""QID166_7""}","{""ImportId"":""QID166_8""}","{""ImportId"":""QID183_TEXT""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID170_TEXT""}","{""ImportId"":""QID171_TEXT""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID175_TEXT""}"
2021-11-03 07:28:26,2021-11-03 10:19:16,IP Address,128.227.114.30,100,10250,True,2021-11-03 10:19:17,R_T6Owpc4yTE3p8FX,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0039,75,58,15,54,28,Motion sickness,33,56,56,37,58,24,24,17,15,17,17,27,78,66,,84,65,53,25,26,,No,3,Yes,,73,Yes,Yes,19,36,51,39,71,55,79,66,,Yes,79,While performing the walking task,Hydrate more going into the task; take bigger steps,Both exertion in the virtual environment and disorientation,No,Virtual environment,
2021-11-04 08:15:34,2021-11-04 09:44:19,IP Address,128.227.196.72,100,5324,True,2021-11-04 09:44:20,R_1DBgPXRGNMvell9,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0040,75,60,30,25,38,I got moderately lightheaded at points in time making me focus on that as opposed to the task and my spatial memory. I also was wanting to finish sooner.,75,81,15,15,75,30,2,5,5,5,5,5,79,80,I got lightheaded at points.,80,80,34,40,60,,No,1-2,Yes,,80,Yes,No,,,,,,,,,,Yes,77,Nearing the end of the tasks.,I would eat and drink water before.,I think it is because I did not eat or drink before. I was also wearing a mask which the headset caused it to muffle my air a little.,Rarely.,virtual environment,no.
2021-11-04 09:45:53,2021-11-04 10:55:44,IP Address,128.227.196.72,100,4190,True,2021-11-04 10:55:44,R_dcKOBh4VctZgXXb,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0041,70,15,25,60,16,Learning how to walk on the treadmill was difficult at first but as I got more comfortable I was able to focus better.,90,70,24,26,50,9,9,24,22,23,17,40,80,75,,100,60,31,7,35,,No,1-2,No,1,61,Yes,Yes,30,5,31,6,86,60,93,21,,No,,,,,,I felt oriented in the virtual environment but not in the room I was in.,No
2021-11-05 07:15:10,2021-11-05 08:34:05,IP Address,128.227.196.72,100,4735,True,2021-11-05 08:34:06,R_a4zvzBlwbNzlt3r,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0043,40,10,10,20,20,,50,60,30,40,80,10,10,29,30,50,49,81,73,75,,100,92,90,74,78,,No,3,Yes,,90,Yes,Yes,5,5,0,0,100,72,84,0,,No,,,,,,The room I was in,
2021-11-05 08:55:51,2021-11-05 10:05:15,IP Address,128.227.196.72,100,4164,True,2021-11-05 10:05:15,R_31ucuWrPIGitzfG,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0044,30,10,20,15,10,"First experience with VR, so adjusting to it just took some getting used to.",80,65,20,80,15,80,15,30,30,20,15,90,100,100,,100,80,60,30,70,,Yes,,Yes,,70,Yes,No,,,,,,,,,,No,,,,,,No,
2021-11-05 10:06:37,2021-11-05 11:31:05,IP Address,128.227.196.72,100,5067,True,2021-11-05 11:31:05,R_3kHdgdzo9alqOBP,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0045,81,26,56,35,34,I got a bit dizzy but not bad.,59,60,34,34,85,33,34,15,16,0,0,42,61,59,,87,89,65,64,66,,Yes,,Yes,,70,Yes,Yes,0,0,0,0,100,61,74,0,,Yes,72,Starting after the first about 3 min of the experiment.,I would make the walking faster.,yes in the virtual environment.,No,yes,
2021-11-10 07:27:48,2021-11-10 10:03:56,IP Address,128.227.196.72,100,9368,True,2021-11-10 10:03:56,R_1IsXh06wzAChbMO,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0046,55,35,22,24,54,The many curvatures and intersections in the roads.,43,52,23,54,65,42,41,41,40,7,6,31,44,55,,82,82,47,55,58,,No,1-2,Yes,,70,Yes,No,,,,,,,,,,No,,,,,,"I felt more oriented to the room I was in at first but over time I became more comfortable in the virtual environment and started to get oriented there. ",
2021-11-10 10:05:47,2021-11-10 15:36:59,IP Address,128.227.196.72,100,19871,True,2021-11-10 15:36:59,R_1iewQWzeezAzVwO,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0047,62,0,0,0,0,very hot,59,35,66,0,0,28,68,51,19,15,16,37,80,76,very hot and I started  to get a headache,100,25,34,0,0,it was very hot and i began to feel impatient and lightheaded,No,,Yes,,51,No,Yes,0,0,0,0,100,100,100,56,,Yes,51,as i started the pointing task,no mask and if the headset fit a little better,exertion and wearing a mask made it hard to breath,sometimes,the room,
2021-11-12 06:57:57,2021-11-12 08:31:08,IP Address,128.227.196.72,100,5590,True,2021-11-12 08:31:08,R_3p8TGcmu0AObzy6,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0048,60,10,0,0,0,,80,90,0,20,85,20,0,30,70,50,20,80,85,75,,100,90,80,80,80,,No,1-2,Yes,,90,Yes,No,,,,,,,,,,No,,,,,,The virtual environment,No
2021-11-12 11:07:23,2021-11-12 12:01:36,IP Address,128.227.196.72,100,3253,True,2021-11-12 12:01:36,R_2BwTKjfdOjS4ZtQ,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0049,70,60,10,0,10,,75,19,80,20,0,80,9,30,20,30,13,80,100,100,,75,49,24,20,20,,No,1-2,Yes,,70,Yes,Yes,29,0,19,70,0,85,100,100,,No,,,,,,No,
2021-11-15 10:24:08,2021-11-15 11:53:30,IP Address,128.227.196.72,100,5362,True,2021-11-15 11:53:30,R_3RwtUDGj2p4Nm05,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0050,70,40,30,30,30,,40,50,20,20,0,100,0,25,0,0,0,50,50,50,,60,60,30,20,20,,No,5,Yes,,80,Yes,No,,,,,,,,,,No,,,,,,virtual environment,
