StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q131_1,Q131_2,Q131_3,Q131_4,Q131_8,Q21,Q133_11,Q133_3,Q133_1,Q133_2,Q133_4,Q133_5,Q133_6,Q133_7,Q133_8,Q133_13,Q133_14,Q133_9,Q133_10,Q133_12,Q22,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q23,General VR Interest,General VR Interest_2_TEXT,Q140,Q140_2_TEXT,Q143_24,Q142,Q144,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q24,Q146,Q147_1,Q149,Q150,Q153,Q19,Q151,Q154
2021-11-15 11:54:44,2021-11-15 12:49:56,IP Address,128.227.196.72,100,3312,True,2021-11-15 12:49:56,R_1Q6OVzJclThVpcy,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0051,70,12,10,11,10,,89,61,36,72,35,34,66,24,42,14,58,74,42,34,,89,90,90,56,58,,No,5,Yes,,70,No,Yes,60,60,37,38,90,41,65,63,,No,,,,,,Yes,
2021-11-15 12:52:45,2021-11-15 14:22:54,IP Address,128.227.196.72,100,5408,True,2021-11-15 14:22:55,R_1pR39ZgOQJ0gNB0,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0052,75,30,25,30,50,Got motion sickness which distracted me.,30,40,50,50,35,35,65,25,40,25,25,25,70,80,,75,66,25,35,35,,No,,Yes,,60,No,No,,,,,,,,,,Yes,60,Moving head around to look at surroundings,More realistic movement,Exertion in virtual environment,"Depends, I would say no though.",Room,No
2021-11-16 11:26:16,2021-11-16 12:36:45,IP Address,128.227.196.72,100,4229,True,2021-11-16 12:36:46,R_phiQNAxPWEEIbpn,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0053,30,5,0,0,0,N/A,55,100,0,0,80,0,0,38,17,2,6,86,100,100,N/A,100,70,29,8,50,N/A,No,12,Yes,,100,Yes,Yes,0,85,11,0,100,100,100,100,N/A,No,,,,,,"I felt more like I was oriented in the room. ",No
2021-11-17 06:49:24,2021-11-17 07:44:25,IP Address,128.227.196.72,100,3300,True,2021-11-17 07:44:25,R_3G3WbVTc3PQrbXX,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0054,70,39,0,6,0,I began to feel slight motion sickness.,85,86,0,0,64,17,0,8,10,0,0,39,81,79,Being able to look around made it feel more like I was walking it in real-life.,86,67,40,23,43,N/A,No,1-2,Yes,,59,Yes,No,,,,,,,,,,Yes,70,"After a bit of time had passed. ","Wear better clothes, more AC, shorter period of time. ",A number of factors combined.,Yes (carsick),Virtual environment,none
2021-11-17 07:46:27,2021-11-17 09:24:08,IP Address,128.227.196.72,100,5861,True,2021-11-17 09:24:09,R_0H7dDx5I3msXNnP,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0055,100,44,22,60,23,"The paths were quite long and took a while to walk through, especially the 4th route",69,82,29,60,51,51,51,0,0,0,0,0,86,100,No other comments,100,100,60,36,79,No,No,3,Yes,,86,No,Yes,57,3,4,0,100,100,100,73,No other comments,Yes,85,After the 3rd route,"Easier walking ability to exert less force  ",The pushing of the harness on my stomach may have contributed to the motion sickness,"No, I never get carsick, seasick, or airsick",The virtual environment,No other comments
2021-11-18 07:55:02,2021-11-18 09:08:07,IP Address,128.227.196.72,100,4384,True,2021-11-18 09:08:07,R_diM4v6uCh0gDadr,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0056,30,9,8,7,17,,60,38,12,80,84,15,15,64,82,60,18,80,94,96,,100,74,62,49,50,,No,5,Yes,,82,Yes,No,,,,,,,,,,No,,,,,,yes,
2021-11-18 09:11:21,2021-11-18 10:14:10,IP Address,128.227.196.72,100,3768,True,2021-11-18 10:14:11,R_31vJTEQdoVgyU5Q,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0057,20,30,10,9,60,,72,75,4,22,89,1,7,90,95,90,85,87,90,95,,85,89,13,7,5,,Yes,,Yes,,60,Yes,Yes,50,70,67,11,12,71,84,24,,No,,,,,,"The virtual environment ",
2021-11-29 12:08:49,2021-11-29 12:58:01,IP Address,128.227.196.72,100,2951,True,2021-11-29 12:58:01,R_12gwV69UcQVDliP,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0058,70,0,9,17,25,Focusing on walking,70,91,0,10,100,0,0,10,10,0,0,95,100,100,,100,80,8,5,21,,No,2,Yes,,30,Yes,No,,,,,,,,,,No,,,,,,virtual environment,
2021-11-29 13:02:16,2021-11-29 14:32:18,IP Address,128.227.196.72,100,5401,True,2021-11-29 14:32:19,R_339h5Gini54Qw5m,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0059,12,15,2,1,3,none,80,68,31,54,82,0,0,37,46,40,55,100,100,76,none,81,30,22,42,69,spatial awareness of objects,Yes,,Yes,,92,Yes,Yes,10,15,16,10,82,95,93,76,,No,,,,,,yes,none
2021-11-30 11:34:19,2021-11-30 12:51:03,IP Address,128.227.196.72,100,4603,True,2021-11-30 12:51:03,R_1r0q0RfbSpPLrzc,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0060,71,21,27,50,50,"Remembering the routes while learning the names of the buildings
",68,39,77,32,41,70,29,42,42,38,43,71,70,74,"headphones to sound like you were outside in the open area
",73,68,51,36,42,none,No,5,Yes,,84,Yes,No,,,,,,,,,,No,,,,,,yes,none
2021-11-30 12:52:35,2021-11-30 14:40:01,IP Address,128.227.196.72,100,6446,True,2021-11-30 14:40:02,R_vwx8eNAz2SkJIvD,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0061,85,6,6,2,2,walking,13,35,51,44,79,0,0,0,0,0,8,0,100,100,,79,0,4,0,0,,Yes,,Yes,,4,No,Yes,0,72,23,25,27,98,73,30,,Yes,74,the whole time,unnavoidable,yes,no,room,no
2021-12-01 06:43:29,2021-12-01 07:46:42,IP Address,128.227.196.72,100,3792,True,2021-12-01 07:46:42,R_3Li2OYq9N2MgBfq,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0062,68,22,22,22,22,,35,51,22,23,40,29,66,30,37,11,18,47,43,41,,75,62,62,51,51,,Yes,,Yes,,51,Yes,No,,,,,,,,,,No,,,,,,Yes to both,No
2021-12-01 07:51:54,2021-12-01 09:11:50,IP Address,128.227.196.72,100,4796,True,2021-12-01 09:11:51,R_2QDtCRQ3Z3sAQAq,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0063,73,31,35,44,36,the headset and mask made it hard to focus.,96,92,18,24,47,60,14,28,22,45,40,48,91,90,,93,88,19,44,42,,Yes,,Yes,,60,No,Yes,9,21,24,23,85,64,79,27,,Yes,23,"during the last 2 rounds ",smaller headset,exertion,"yes ",virtual environment,none
2021-12-01 10:18:02,2021-12-01 13:51:18,IP Address,128.227.196.72,100,12796,True,2021-12-01 13:51:18,R_2pJh7iU2ZC5dO6n,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0064,78,21,24,22,25,Mostly the difficulty of walking made it hard to stay on task.,33,66,25,57,65,72,9,9,11,20,17,28,78,36,,95,86,32,21,75,,No,10,Yes,,89,Yes,No,,,,,,,,,,No,,,,,,Yes,"n/a
"
2021-12-02 07:54:59,2021-12-02 09:01:33,IP Address,128.227.196.72,100,3994,True,2021-12-02 09:01:34,R_ZaxlOuqPJH5pXYl,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0065,75,19,60,93,10,The way the treadmill made me feel somewhat nauseous and oftentimes due to the placement of the headset I was unable to read instructions clearly. Many fuzzy images and hard headset.,61,100,0,0,62,75,25,7,0,0,0,0,0,39,,100,59,40,17,17,,Yes,,Yes,,0,No,Yes,0,0,0,99,100,85,75,34,,Yes,93,About 25% of the way through,"Out headset on better and have experience walking on virtual reality treadmills, drink water.",Disorientation and exertion of the virtual environment,"Yes, all the time",Not all the way. I often felt disconnected and uncomfortable due to the sickness I felt,N/A
2021-12-02 09:03:29,2021-12-02 13:30:40,IP Address,128.227.196.72,100,16030,True,2021-12-02 13:30:40,R_28If0RSeNUOsOE5,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0066,71,10,12,66,59,Figuring out how to walk on the treadmill while learning the route and building names.,42,67,43,43,60,41,43,34,45,30,35,57,80,83,NA,90,58,38,41,60,,Yes,,Yes,,84,Yes,No,,,,,,,,,,No,,,,,,Yes.,no.
2021-12-03 06:38:01,2021-12-03 08:02:28,IP Address,128.227.196.72,100,5066,True,2021-12-03 08:02:28,R_33lkM9DwuDCxHeT,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0067,40,10,10,25,25,The headset was uncomfortable and was making my nose run,30,70,30,60,60,70,40,40,60,30,20,40,60,70,The sliding feeling of the shoes didn't match up with walking on a road,100,90,60,40,40,It was hard to determine the distance between buildings I couldn't see,No,1-2,Yes,,70,Yes,Yes,100,100,100,80,20,80,100,80,"To orient myself ",No,,,,,,The virtual environment - when I took off the headset I had no idea which way I would be facing,N/A
2021-12-03 08:05:23,2021-12-03 09:29:57,IP Address,128.227.196.72,100,5074,True,2021-12-03 09:29:58,R_1BpYvi2AuRAwfW9,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0068,100,40,0,80,70,"walking motion was unnatural including the leaning forward and the very large steps, overall very difficult to maneuver. ",80,50,50,50,51,0,0,0,0,0,0,0,51,40,"The headset was pushing down on my nose and made it hard to breathe and putting the weight forward on the ring was unnatural. ",100,51,52,9,0,,Yes,,Yes,,50,No,No,,,,,,,,,,No,,,,,,"Visually, I felt immersed  in the virtual environment but I could hear noises that directed me to know how I was situated in terms of the room. ",
2021-12-03 09:35:58,2021-12-03 12:38:15,IP Address,128.227.196.72,100,10937,True,2021-12-03 12:38:16,R_29lYKKDJRxzrWhN,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0069,30,9,0,21,20,head started hurting,90,90,0,0,34,77,0,89,87,14,13,61,100,31,no,100,73,5,0,0,,Yes,,Yes,,81,No,Yes,29,32,0,0,98,96,100,0,,Yes,71,during the walking,i dont know i get motion sick very easily,"I tend to get motion sick or have a headache when looking at screens for too long so it probably ,was not all related to the virtual environment ",yes,yes,no
2021-12-06 09:54:14,2021-12-06 11:02:49,IP Address,128.227.196.72,100,4115,True,2021-12-06 11:02:49,R_1Q63aunGSqYog0i,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0071,75,62,82,37,22,My feet started to hurt the more that I walked on the treadmill.,59,53,41,41,48,42,43,29,12,34,28,48,55,67,,46,73,43,40,72,,Yes,,Yes,,71,Yes,Yes,55,29,52,22,62,78,64,58,,No,,,,,,Yes,No
2021-12-06 11:13:14,2021-12-06 12:33:32,IP Address,128.227.196.72,100,4818,True,2021-12-06 12:33:33,R_dcjV4jr4NjrhjcR,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0072,70,30,20,15,0,"For me, nothing else made it difficult to stay on task. The greatest obstacle was figuring out how to walk efficiently on the treadmill.",75,75,40,55,50,65,30,25,71,55,50,55,100,95,I think the lack of noise/music made it easier to remember the places whereas realistic noises may have been an extra distraction.,100,85,75,85,100,The buildings were all physically distinct which made them distinguishable apart from their names.,No,1-2,Yes,,81,Yes,No,,,,,,,,,,No,,,,,,I felt oriented to the virtual environment.,
2021-12-06 12:44:37,2021-12-06 14:35:00,IP Address,128.227.196.72,100,6622,True,2021-12-06 14:35:00,R_3G3Y8uG0WK59WIW,,,,,29.6840057373046875,-82.3571014404296875,anonymous,EN,0073,82,36,41,29,23,The overall idea of virtual reality was different making it more distracting then walking normally.,29,62,31,36,63,40,72,32,31,26,26,27,78,74,I felt like I couldn't look around as I walked like I normally would.,81,26,30,31,32,,Yes,,Yes,,69,Yes,Yes,37,31,29,28,97,36,80,33,,Yes,67,When I couldn't walk the right speed and couldn't breath super well because of face mask.,No mask,A combination,"yes, carsick",virtual,nope
2022-02-16 09:40:50,2022-02-16 10:56:19,IP Address,128.227.206.50,100,4529,True,2022-02-16 10:56:19,R_3ffRwjs4nZPcHsC,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0074,62,0,0,0,0,,71,89,8,8,86,1,2,22,63,23,36,100,100,20,,100,73,22,12,65,,No,3,Yes,,100,Yes,Yes,90,85,86,68,25,25,100,68,,No,,,,,,yes,
2022-02-18 10:26:14,2022-02-18 11:17:07,IP Address,128.227.206.50,100,3053,True,2022-02-18 11:17:08,R_6o16mluG7iUqO65,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0075,81,14,65,26,28,,76,84,10,10,75,5,7,1,16,20,25,79,86,100,,82,19,35,38,76,,No,20,No,10,100,Yes,No,,,,,,,,,,No,,,,,,yes,
2022-02-18 11:29:20,2022-02-18 12:16:11,IP Address,128.227.206.50,100,2811,True,2022-02-18 12:16:12,R_1LqEbx4VjzvPAkz,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0076,61,10,0,0,0,,71,72,14,14,63,18,66,41,41,42,65,66,70,68,,70,71,73,65,68,,No,20,No,20,100,Yes,No,,,,,,,,,,No,,,,,,VE,No
2022-02-21 08:14:27,2022-02-21 09:06:18,IP Address,128.227.206.50,100,3111,True,2022-02-21 09:06:19,R_1LdqB500EwJAQ0i,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0077,60,30,10,10,20,n/a,50,50,50,50,40,60,40,40,50,25,40,80,80,65,n/a,90,65,65,65,85,n/a,No,2,No,2,65,Yes,No,,,,,,,,,,No,,,,,,yes,no
2022-03-15 11:44:58,2022-03-15 13:01:43,IP Address,128.227.188.116,100,4604,True,2022-03-15 13:01:43,R_enEwx9IVBaW1yAp,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2001,15,20,10,30,15,N/A,100,100,0,0,100,0,0,80,70,10,11,84,100,82,N/A,100,100,80,35,10,,No,3,Yes,,100,Yes,No,,,,,,,,,,No,,,,,,"Yes I felt oriented in the virtual environment. ","I did not use the mountains significantly when figuring out the locations of the buildings and instead tried to compare the buildings positions to each other. I found the mountains helpful when marking a select few of the buildings. "
2022-03-15 13:16:55,2022-03-15 14:14:14,IP Address,128.227.188.116,100,3438,True,2022-03-15 14:14:15,R_R4u8Ab2W48QQUF3,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2002,10,0,0,13,0,Walking was a little difficult at first but did not take long to adjust to.,89,79,25,65,39,59,45,69,40,49,61,61,98,81,,100,95,45,14,67,,No,1,Yes,,91,Yes,No,,,,,,,,,,Yes,30,About halfway through.,I don't think there was anything that needed to be changed.,I think it might have been from not being used to using a VR headset.,I sometimes get carsick but not seasick too often.,"The mountains look real and I thought they looked really cool, I was just focused on the buildings and forgot where the mountains were during it. And I felt somewhat oriented in the virtual environment.",Using the treadmill was very cool and I've never seen something like that before.
2022-03-16 08:04:53,2022-03-16 09:33:41,IP Address,128.227.188.116,100,5327,True,2022-03-16 09:33:41,R_2cwsFh6udHN58Wy,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2003,100,0,0,8,9,NA,97,97,7,6,0,0,0,0,2,0,0,75,77,79,NA,100,100,69,15,10,NA,Yes,,Yes,,71,Yes,No,,,,,,,,,,No,,,,,,I feel orientated to the virtual world.,"The mountains were helped because I remembered where they are located based on what was around me. As I was walking around I keep looking around me. The mountains were kind of realistic, I think they should have been green not covered in snow. "
2022-03-16 09:35:28,2022-03-16 10:58:52,IP Address,128.227.188.116,100,5004,True,2022-03-16 10:58:53,R_32SbzCn5H1hFgUA,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,"2004 ",71,40,60,60,35,Having to learn the walking motion while simultaneously develop a mental map of my whearabouts was difficult. It may have been easier if I wasn't focusing on learning to walk as well,50,60,40,70,20,70,30,15,15,15,15,25,40,60,,80,30,20,20,60,,Yes,,Yes,,70,Yes,No,,,,,,,,,,No,,,,,,I only felt oriented in the room I was in when I heard familiar sounds. When I wasn't focusing on trying to walk I felt I had a decent grasp for where I was in the virtual environment.,I used the mountain as my primary reference point because I knew they represented the boundary and it began to get confusing in the middle of town (aside from the bright orange color of Golledge Hall)
2022-03-16 11:08:09,2022-03-16 12:57:07,IP Address,128.227.188.116,100,6538,True,2022-03-16 12:57:08,R_1jkBVMNTYCagEtk,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2005,65,20,55,15,15,,70,85,20,60,30,70,15,30,40,40,30,70,85,70,,90,40,60,60,60,,Yes,,Yes,,70,Yes,No,,,,,,,,,,No,,,,,,"Yes, I felt oriented to the virtual environment.","The mountains helped me orient myself in regards to how Path 1 and Path 2 were connected directionally, as well as which buildings were on that edge of the map."
2022-03-18 10:52:41,2022-03-18 11:52:50,IP Address,128.227.188.116,100,3608,True,2022-03-18 11:52:50,R_Z9SHIe7UjbQp66d,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2006,70,20,15,40,20,The different shades of colors and the similarities between buildings made it distracting and confusing to learn.,55,60,20,60,55,60,10,40,25,35,20,55,80,70,The noise produced by the handles took me out of it a bit but not too much.,85,55,30,40,60,"It was hard having an understanding of the whole environment, especially of the mountain range.",No,3,Yes,,95,No,No,,,,,,,,,,No,,,,,,I felt oriented towards the virtual environment.,I did not use the mountains as a guide. I instead used buildings and other landmarks to help understand where other things.
