StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q131_1,Q131_2,Q131_3,Q131_4,Q131_8,Q21,Q133_11,Q133_3,Q133_1,Q133_2,Q133_4,Q133_5,Q133_6,Q133_7,Q133_8,Q133_13,Q133_14,Q133_9,Q133_10,Q133_12,Q22,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q23,General VR Interest,General VR Interest_2_TEXT,Q140,Q140_2_TEXT,Q143_24,Q142,Q26_2,Q26_1,Q26_4,Q26_3,Q27,Q144,Q23,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q24,Q185_1,Q185_2,Q185_3,Q185_8,Q185_4,Q185_5,Q185_6,Q185_7,Q186,Q146,Q147_1,Q149,Q150,Q153,Q19,Q151,Q154
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant Number (filled by the experimenter),"Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - Walking on the treadmill was difficult.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - The instructions were long and I had trouble focusing on them.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - The environment was distracting as I heard the instructions.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - The objects in the environment such as signs, trees and benches etc. were distacting.","Staying on Task During Experiment



To the extent that you found it HARD to stay on task, how much did the following factors influence your ability to stay on task: - Architecture of the buildings were distracting.",Explain anything else that you felt caused it to be difficult to stay on task.,"Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The virtual environment was immersive and realistic.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The objects and the buildings in the environment were in the same scale compared to the real-world measurements.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The objects and the buildings in the environment were in bigger scale compared to the real-world measurements.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - The objects and the buildings in the environment were in smaller scale compared to the real-world measurements.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was at the same height in the virtual environment compared to real life.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was taller in the virtual environment compared to real life.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was shorter in the virtual environment compared to real life.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - It was easy to walk on the treadmill.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was able to walk in a pace I desired.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I felt like my steps in the virtual environment mirrored steps in the real-world.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I felt like my walking speed in the virtual environment was similar to my normal walking speed.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I was comfortable during the experiment.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I felt secure in the treadmill.","Immersion in the Virtual Environment
How much did the following factors influence your immersion experience: - I could see clearly in the VR headset.",Explain anything else that you felt caused it to be effect your immersiveness experience.,"Task Performance

 

How much did the following factors influence your task performance: - The directions for the tasks were clear.","Task Performance

 

How much did the following factors influence your task performance: - It was easy to learn the names of the buildings.","Task Performance

 

How much did the following factors influence your task performance: - It was easy to learn the locations of the buildings.","Task Performance

 

How much did the following factors influence your task performance: - I performed well in the pointing task.","Task Performance

 

How much did the following factors influence your task performance: - I performed well in the model building (bird eyeâ€™s view map) task.",Explain anything else that you felt caused it to be effect your task performance.,"It was my first time using a virtual reality (VR) headset.

(If no, approximately how many times?) - Selected Choice","It was my first time using a virtual reality (VR) headset.

(If no, approximately how many times?) - No - Text","It was my first time using a virtual reality (VR) treadmill.

(If no, approximately how many times?) - Selected Choice","It was my first time using a virtual reality (VR) treadmill.

(If no, approximately how many times?) - No - Text",I am interested in VR technologies.,I would like to participate in a VR study again.,"Compass Experience
Please rate how much experience you have in using a compass - I know how to use a compass.","Compass Experience
Please rate how much experience you have in using a compass - I am experienced in using a compass.","Compass Experience
Please rate how much experience you have in using a compass - I find it easy to use a compass to find my way.","Compass Experience
Please rate how much experience you have in using a compass - In my daily life, I use the north as my reference point.","Please explain how experienced you are in using a compass and if you use compasses on a regular basis, briefly mention why and how.","You either were holding a COMPASS or you had a MOUNTAIN RANGE in your virtual environment. Please choose YES in ONLY one of the questions below:

 

Were you holding a compass during the experiment?",Was there a mountain range in your virtual environment?,"Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I used the compass while I was learning the environment.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I used the compass during the pointing task.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - The compass helped me to learn the environment better.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I constantly remembered I had a compass to assist me.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I forgot throughout the experiment that I was holding a compass.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - The compass was easy to read.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - The directions on how to use the compass were clear.","Using the Compass


On a scale from 1:100, how often or how did you use the compass during the experiment? - I knew where the compass was pointing throughout the environment (i.e. same direction every scene, different directions)",Explain any other way that you used the compass.,"Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - I used the mountain range while I was learning the environment.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - I used the mountain range during the pointing task.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - The mountain range helped me to learn the environment better.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - The mountain range was visible in most of the virtual environment.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - I constantly remembered I had the mountain range to assist me.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - I forgot throughout the experiment that there was a mountain range.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - The mountain range was realistic.","Using the Mountain Range


On a scale from 1:100, how often or how did you use the mountains or look at them during the experiment? - I was able to draw the mountain range in the building task easily and correctly.",Explain any other way that you used the mountain range.,Did you feel sick or dizzy at any time during the experiment?,How sick or dizzy did you get?,When did you feel sick or dizzy?,What would you change to prevent motion sickness?,"Did you feel that your motion sickness resulted from exertion in the virtual environment, disorientation, or another source?","Do you normally easily get motion sick? For example carsick, seasick or airsick?","Did you feel oriented to the room you were in, or the virtual environment?",Do you have any additional comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID176_TEXT""}","{""ImportId"":""QID152_1""}","{""ImportId"":""QID152_2""}","{""ImportId"":""QID152_3""}","{""ImportId"":""QID152_4""}","{""ImportId"":""QID152_8""}","{""ImportId"":""QID180_TEXT""}","{""ImportId"":""QID154_11""}","{""ImportId"":""QID154_3""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID154_2""}","{""ImportId"":""QID154_4""}","{""ImportId"":""QID154_5""}","{""ImportId"":""QID154_6""}","{""ImportId"":""QID154_7""}","{""ImportId"":""QID154_8""}","{""ImportId"":""QID154_13""}","{""ImportId"":""QID154_14""}","{""ImportId"":""QID154_9""}","{""ImportId"":""QID154_10""}","{""ImportId"":""QID154_12""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID159_1""}","{""ImportId"":""QID159_2""}","{""ImportId"":""QID159_3""}","{""ImportId"":""QID159_4""}","{""ImportId"":""QID159_5""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID160""}","{""ImportId"":""QID160_2_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID161_2_TEXT""}","{""ImportId"":""QID164_24""}","{""ImportId"":""QID163""}","{""ImportId"":""QID187_2""}","{""ImportId"":""QID187_1""}","{""ImportId"":""QID187_4""}","{""ImportId"":""QID187_3""}","{""ImportId"":""QID188_TEXT""}","{""ImportId"":""QID165""}","{""ImportId"":""QID184""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID166_2""}","{""ImportId"":""QID166_3""}","{""ImportId"":""QID166_4""}","{""ImportId"":""QID166_5""}","{""ImportId"":""QID166_6""}","{""ImportId"":""QID166_7""}","{""ImportId"":""QID166_8""}","{""ImportId"":""QID183_TEXT""}","{""ImportId"":""QID185_1""}","{""ImportId"":""QID185_2""}","{""ImportId"":""QID185_3""}","{""ImportId"":""QID185_8""}","{""ImportId"":""QID185_4""}","{""ImportId"":""QID185_5""}","{""ImportId"":""QID185_6""}","{""ImportId"":""QID185_7""}","{""ImportId"":""QID186_TEXT""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID170_TEXT""}","{""ImportId"":""QID171_TEXT""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID175_TEXT""}"
2022-03-22 13:23:40,2022-03-22 13:25:26,IP Address,24.250.169.175,100,105,True,2022-03-22 13:25:27,R_231835ncbGp1a4U,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0000,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,,Yes,,Yes,,48,Yes,,,,,,No,Yes,,,,,,,,,,51,51,51,51,51,51,51,51,,No,,,,,,lkh,
2022-03-22 13:57:47,2022-03-22 13:59:43,IP Address,24.250.169.175,100,116,True,2022-03-22 13:59:43,R_3FUJAwsZ7eOLumG,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0000,51,51,51,51,51,,51,51,51,51,51,51,51,52,51,51,51,51,51,51,,51,51,51,51,51,,Yes,,Yes,,51,Yes,52,51,51,52,,Yes,No,51,51,51,51,51,51,51,51,,,,,,,,,,,No,,,,,,vv,
2022-03-23 08:07:41,2022-03-23 08:51:10,IP Address,128.227.188.116,100,2608,True,2022-03-23 08:51:10,R_r6ivIKQKkSBDw6B,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2007,96,18,68,88,93,"The objects jiggled and glitched making focusing on them really hard and induced motion sickness. The ring not being tall enough also made it hard for me to walk. If the environment let you walk faster, that would be helpful. If the environment was more stable, there would be way less motion sickness.",5,94,21,61,32,0,70,0,8,0,0,0,93,82,The pace needed to be way faster to make up for the awkward movement on the treadmill. The objects and environments were jittery making it hard to actually feel like I was walking in the experience.,95,8,3,21,16,Focusing on walking and trying not to be sick in the VR experience made it harder to focus on the actual task at hand.,Yes,,Yes,,78,No,12,0,0,0,I have never used a compass seriously,Yes,No,0,0,0,0,99,98,97,2,,,,,,,,,,,Yes,81,Anytime I had to move.,"The jitteriness of the environment. Smoother walking. Good height for the ring. ","Exertion and disorientation caused this motion sickness. Also the fact that the environment kept glitching. ","I get motion sick when reading in the car, and on rollercoasters.",NO,No
2022-03-23 09:46:05,2022-03-23 10:29:23,IP Address,128.227.188.116,100,2597,True,2022-03-23 10:29:24,R_9S2cf6XjrDoYeGd,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2008,52,14,28,24,21,,60,44,26,75,73,38,30,65,77,83,56,59,82,84,,96,91,76,65,79,,No,2,Yes,,67,Yes,67,27,41,35,,No,Yes,,,,,,,,,,53,67,58,72,41,52,61,69,,No,,,,,,VIRTUAL ENVIRONMENT,
2022-03-25 08:14:35,2022-03-25 09:48:57,IP Address,128.227.188.116,100,5662,True,2022-03-25 09:48:58,R_8xj63sLXrRp6InL,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2011,30,20,20,40,33,,63,70,38,38,75,42,39,62,41,69,40,66,77,60,,81,67,37,34,35,,Yes,,Yes,,70,No,64,28,32,12,,Yes,No,33,33,33,26,66,68,73,45,,,,,,,,,,,No,,,,,,"not in the room I was in, bit in the virtual environment",
2022-03-29 09:47:42,2022-03-29 11:07:58,IP Address,128.227.188.116,100,4815,True,2022-03-29 11:07:58,R_2ZCd5KemKNRfdSy,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2012,62,20,10,0,10,"The color of the arrow and the color of Godlger hall felt a bit similar, that I didn't notice the color of the building until afterwards.   ",80,62,26,50,21,64,0,10,0,11,12,71,80,100,,100,77,86,40,68,,No,4,Yes,,82,Yes,16,0,0,0,,No,Yes,,,,,,,,,,100,100,85,87,93,12,99,30,,No,,,,,,"Yes, I felt oriented the virtual environment. ",
2022-03-22 13:25:32,2022-03-22 14:00:15,IP Address,24.250.169.175,60,2082,False,2022-03-29 14:00:26,R_1r9sEbqo22cpmEV,,,,,,,anonymous,EN,00000,51,51,51,51,50,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,48,51,51,51,,No,,No,,47,Yes,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-01 07:35:30,2022-04-01 08:16:29,IP Address,128.227.188.116,100,2458,True,2022-04-01 08:16:29,R_2DT5AKvEgxuAp9m,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2013,92,2,17,66,0,memorizing names of buildings while memorizing directions,61,28,67,29,26,60,20,0,0,0,0,15,98,51,i could see 360 degrees around me,93,23,70,62,10,difficult to put together multiple routes when not walked at once,Yes,,Yes,,0,No,94,76,17,0,i use it when i use google maps but not that frequently because i follow the map paths instead of cardinal directions,Yes,Yes,8,8,3,0,18,100,78,12,to tell if i was heading north,21,7,18,19,24,80,19,29,did not use it,No,,,,,,virtual environment,no
2022-04-01 08:20:15,2022-04-01 11:36:28,IP Address,128.227.188.116,100,11772,True,2022-04-01 11:36:28,R_3Ey9t85V9QRNKvT,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2014,60,20,10,20,0,N/A,70,60,20,70,40,60,10,5,5,10,5,100,95,80,N/A,90,90,80,75,75,N/A,No,2,Yes,,100,Yes,5,0,5,0,"I do not ever really use a compass. I tend to use GPS instead. I don't even really use N, W, S, E for directions, so a compass has never been my go-to tool",No,Yes,,,,,,,,,,80,0,70,95,20,20,80,51,"I used it as a reference point maybe once, but mostly used a specific building as the reference point during the pointing task.",Yes,5,"When I would walk and it would move me forward but my body could sense I was not actually moving anywhere. ",Nothing - it was very mild and mostly only a little disorientation in my head than anything,Disorientation,"Carsick sometimes, but not too often","No, only a little in the virtual environment",None
2022-04-01 13:54:39,2022-04-01 14:53:07,IP Address,128.227.188.116,100,3508,True,2022-04-01 14:53:08,R_2OZ8vqxqHMfXNkT,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2015,93,12,0,9,8,The harness was a bit tight and I was a bit hot during the course of the experiment especially during the 2nd task. I was also putting some focus into making larger strides so that I would be able to go through the path more smoothly,60,81,16,17,93,8,1,18,0,0,0,30,40,84,"Was slightly hot and the harness was a bit tight. Also, my strides felt a lot larger than what was mirrored on the screen",95,69,23,0,23,n/a,Yes,,Yes,,72,No,28,0,27,0,"I am not experienced at all using a compass, and I do not use them regularly",Yes,No,20,31,7,8,80,59,70,10,n/a,,,,,,,,,,Yes,72,During the second task on the VR headset,I would try to make the walking motions on the treadmill mirror strides taken in real life more accurately.,"Most likely from exertion in the virtual environment, I had also just eaten","I get carsick when I am either reading or looking at my phone, and get seasick when the waves are very intense. I have never been airsick.","Both, but moreso in the room I was in",n/a
2022-04-04 10:24:56,2022-04-04 11:21:46,IP Address,128.227.188.116,100,3410,True,2022-04-04 11:21:46,R_sX9ob7OoCIjNarn,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2016,81,0,6,5,0,,73,40,17,63,100,1,0,0,94,0,0,22,86,100,,100,15,9,0,63,,No,,Yes,,72,No,0,0,0,0,,No,Yes,,,,,,,,,,0,0,1,67,5,90,90,87,,Yes,82,When walking and looking at the path.,Maybe an easier way to walk.,I think a combination,no,yes,
